profile_name,about_spec
Системы и средства автоматизации технологических процессов,"собирать и анализировать исходные данные для расчета и проектирования систем и средств автоматизации и управления; производить расчеты и проектировать отдельные блоки и устройства систем автоматизации и управления; создавать программное обеспечение для микроконтроллеров, программируемых логических контроллеров и персональных компьютеров; применять нейросетевые технологии, технологии искусственного интеллекта и экспертные системы для решения задач управления."
Испытания и сертификация,"определять пути эффективного использования научных и технических достижений в метрологическом обеспечении производства; выполнять экспертизу конструкторской и технологической документации; выполнять анализ и оценку принятых технических решений по выбору параметров, подлежащих измерению, установлению норм точности для эксплуатации и ремонта изделий; научитесь применять инструменты качества для создания доказательной базы рассуждений и выводов при разработке и принятии решений; проводить анализ бизнес-процессов в части обеспечения качества и использовать его результаты для подготовки управленческих решений; распределять обязанности, находить решения методом «мозгового штурма», экспертным методом, формировать отчеты; научитесь разрабатывать и реализовывать проекты стандартов, методических и нормативных материалов, техническую документацию; осуществлять контроль за соблюдением установленных требований, действующих норм, правил и стандартов; определять номенклатуру измеряемых и контролируемых параметров продукции и технологических процессов, устанавливать оптимальные нормы точности измерений и достоверности контроля; научитесь применять современные подходы к управлению качеством продукции; разрабатывать эффективные мероприятия по повышению результативности производства; применять методы повышения эффективности организаций на основе улучшения качества; применять нормативные документы при разработке, создании и совершенствовании систем качества."
Цифровые системы управления технологическими комплексами,формировать алгоритмы управления сложными динамическими объектами и процессами; использовать методы искусственного интеллекта для решения задач управления сложными технологическими объектами; разрабатывать программное обеспечение для реализации алгоритмов управления в программируемых логических контроллерах; использовать современные технические средства для разработки и проектирования АСУ ТП; выполнять математическое описание и разработку математических моделей процессов и систем управления и производить их исследование.
Промышленный дизайн и принтмедиа технологии,"анализу химических свойств веществ и материалов. Приобретете навыки прогнозирования протекания химических реакций в технологическом процессе; использовать данные о свойствах макромолекул, моделировать их трехмерную структуру и, не прибегая к сложным и дорогостоящим инструментальным методам анализа, проектировать новые инновационные материалы широкого назначения, изучите профессиональные программные продукты Chemcraft, HiperChem, Mopac, ORCA; моделировать и синтезировать на основе программных продуктов Q-Chem, NanoEngineer различные композиционные структуры материалов с заранее заданными химическими и физико-химическими свойствами, что является перспективным направлением в сфере производства и продвижения продукции на рынок."
Ювелирное дело и художественная обработка природного камня,"На данном направлении студенты освоят основы эскизирования, компьютерного проектирования, моделирования средствами растровой, векторной и ЗD-графики художественно-промышленных объектов из различных материалов, представляющих как функциональную, так и эстетическую ценность. Научатся использованию различных приёмов макетирования и моделирования изделий. Студенты получат навыки подбора оптимальных материалов для изготовления продукции с учётом их художественной совместимости, различных технических, физико-химических характеристик и эксплуатационных свойств; сформируют умения и навыки в выборе оборудования и инструментов, подборе и разработке эффективных технологий, необходимых для изготовления тех или иных художественно-промышленных изделий с учётом современных требований к организации производственного процесса; научатся проводить оценку и контроль качества выпускаемой продукции. Также студенты получат первоначальные навыки проведения прикладной научно-исследовательской работы, освоят некоторые формы её отчётности."
Предметный дизайн и технология художественной обработки материалов,"Студенты освоят основы эскизирования, компьютерного проектирования, моделирования средствами растровой, векторной и ЗD-графики художественно-промышленных объектов из различных материалов, представляющих как функциональную, так и эстетическую ценность; научатся использованию различных приёмов макетирования и моделирования изделий, как ручного, так и с помощью аддитивных технологий (оборудования с ЧПУ, 3D-принтеров и т.д.). Студенты получат навыки подбора оптимальных материалов для изготовления продукции с учётом их художественной совместимости, различных технических, физико-химических характеристик и эксплуатационных свойств; сформируют умения и навыки в выборе оборудования и инструментов, подборе и разработке эффективных технологий, необходимых для изготовления тех или иных художественно-промышленных изделий с учётом современных требований к организации производственного процесса; научатся проводить оценку и контроль качества выпускаемой продукции. Под руководством опытных преподавателей студенты научатся своими руками создавать конкурентные художественные изделия, проходя весь творческий процесс от замысла через эскизы и проекты до их воплощения в материале на базе учебно-производственных мастерских. Студенты также получат возможность прохождения производственных практик с последующим трудоустройством на художественно-промышленных предприятиях города, области и уральского региона в целом. Также студенты получат первоначальные навыки проведения прикладной научно-исследовательской работы, освоят некоторые формы её отчётности, что позволит им участвовать в конференциях, семинарах, публиковать статьи и получать именные стипендии и гранты."
"Дизайн, конструирование и цифровое моделирование одежды","использовать навыки проектирования и изготовления швейных изделий; разрабатывать новые конструктивные решения в изделиях легкой промышленности; выполнять разработки дизайн-проектов; выполнять научные исследования в профессиональной деятельности; выполнять производственно – конструкторские разработки; осуществлять организационно-управленческую деятельность. управлять процессами производства; ориентироваться в тенденциях моды; разбираться в особенностях формирования гардероба и ассортимента швейных изделий (обуви, аксессуаров, головных уборов); конструировать швейные изделия по различным методикам, зная их историю; конструировать швейные изделия, используя САПР технологии; анализировать и обобщать результаты в своих проектах; учитывая художественные, технические и экономические параметры конструировать и моделировать швейные изделия легкой промышленности используя средства машинной графики для разработки эскизов и чертежей; согласовывать технические задания с предприятиями, с индивидуальными заказчиками; выполнять уточнения посадки изделия на фигуре или манекене; организовывать работу коллектива на предприятиях легкой промышленности;"
Технология и дизайн художественно-промышленных изделий,"На данном направлении подготовят высококвалифицированных специалистов, способных не только решать сложные комплексные задачи в области дизайна, искусства и технической эстетики, но и находить грамотные технологические схемы для их решения, со знанием инженера разрабатывать новые и даже новаторские объекты художественной среды.   Студенты овладеют коммуникативными навыками для профессионального общения (как с заказчиками, так и с исполнителями работ); познакомятся с возможностями организации собственных мастерских, дизайнерских бюро и творческих студий производственного характера; освоят способы организации и проведения художественных выставок различного уровня."
Практическая психология,"анализировать, применять на практике понятия различных психологических подходов в правовой системе; использовать интерактивные методы, позволяющие обучать толерантной работе в коллективе, предупреждать и конструктивно разрешать конфликтные ситуации; использовать интерактивные методы, позволяющие улучшать профессиональные качества работников, осуществлять эмоциональное, идейное сплочение коллектива;  использовать интерактивные методы, позволяющие развивать способность человека не зависеть от внешних влияний и оценок, самостоятельно регулировать собственное поведение и отвечать за него; определять состояния целевого психологического ресурса и психологических технологий, необходимых для его оптимизации, разрабатывать рекомендации для создания благоприятной атмосферы."
Психология безопасности,"психологическое обеспечение служебной деятельности личного состава, эффективного выполнения им оперативно-служебных задач; определение профессиональной психологической пригодности лиц, принимаемых на службу (в правоохранительные органы, военную службу), обучение (в федеральных государственных организациях, находящихся в ведении федеральных государственных органов, осуществляющих подготовку кадров в интересах обороны и безопасности государства, обеспечения законности и правопорядка), перемещаемых по службе на другие должности, прогнозирование их психологической готовности к выполнению профессиональных задач, психологическое обеспечение работы с резервом кадров на управленческие должности; осуществление профессиональной психологической подготовки личного состава с целью формирования морально-психологической готовности к деятельности в повседневных и экстремальных условиях; анализ характеристик психических процессов, психических свойств и состояний человека, их проявлений в различных видах служебной деятельности личного состава, в межличностных и социальных взаимодействиях на уровне индивида, группы, сообщества; • мониторинг психологического климата, описание и анализ форм организации взаимодействий в служебных коллективах; выявление проблем, затрудняющих функционирование подразделения, учреждения, организации; • проведение диагностики и оптимизации работы с личным составом, консультирование руководителей по результатам психологического обследования личного состава подразделения; проведение психологической реабилитации и восстановления работоспособности сотрудников, военнослужащих и служащих; предупреждение нарушений и отклонений в социальном и личностном статусе, психическом развитии сотрудников, военнослужащих и служащих, рисков асоциального поведения, профессиональных рисков, профессиональной деформации; формирование установок в отношении здорового образа жизни, гармоничного развития, толерантности во взаимодействии с окружающим миром, продуктивного преодоления профессиональных и жизненных трудностей; разработка моделей диагностики проблем лиц, нуждающихся в коррекционных воздействиях, выбор адекватных форм, методов и программ коррекционных мероприятий, программ психологической помощи сотрудникам, военнослужащим и служащих; психологическое консультирование в области управленческой, социальной, профессиональной, образовательной деятельности, консультирование должностных лиц по психологическим проблемам, связанным с организацией служебной деятельности личного состава, формированием в служебных (учебных) коллективах благоприятного психологического климата, индивидуальное консультирование в области интерперсональных отношений, профориентации, планирования карьеры, профессионального и личностного роста."
Экономика и бизнес-аналитика,"эффективному общению с заказчиками, грамотному формулированию технического задания, автоматизации бизнес-процессов и их совершенствованию; поиску перспективной рыночной ниши и расчету экономического потенциала для запуска бизнес-проектов; разработке стратегии развития организаций и формированию бизнес-моделей по мировым стандартам."
"Экономика, финансы и учет в бизнесе","ведению бухгалтерского и налогового учета, составлению и представлению бухгалтерской (финансовой) отчетности организации; комплексному анализу, планированию и контролю показателей эффективности бизнеса; разработке, обоснованию и выбору организационно-управленческих решений для повышения экономической эффективности организаций различных форм собственности, отраслей и межотраслевых комплексов."
Логистика и управление транспортными системами,вести деловые коммуникации на китайском языке; использовать методы и инструменты анализа для принятия оптимальных управленческих решений в сфере транспорта и логистики; организовывать эффективное взаимодействия участников цепей поставок; планировать выполнение внутрироссийских и международных перевозок; проектировать складские логистические комплексы; разрабатывать востребованные транспортно-логистические услуги на основе результатов маркетингового анализы потребительских предпочтений; разрабатывать и внедрять комплекс мероприятий по повышению качества предоставления транспортно-логистических услуг и повышению финансовой эффективности предприятий транспорта и логистики; разрабатывать стратегию развития и операционные планы функционирования предприятий транспорта и логистики; разрабатывать учетные базы данных и веб-ресурсы для бизнес-целей; рационально организовывать перемещение производственных логистических потоков; создавать имитационные модели сложных транспортно-логистических процессов и систем.
Менеджмент организации,"выявлению бизнес-проблем или бизнес-возможностей;   бизнес-планированию;   эккаунтингу (искусству планирования, учета и анализа экономической активности деятельности и развития организации);   HR-менеджменту;   управлению проектами;   lean-менеджменту;   разработки стратегии изменений организации."
Управление бизнес-процессами и финансы предприятий,организации и управлению бизнес-процессами; оценивать и анализировать конкурентоспособность бизнеса;  маркетинговым технологиям; управлению финансовыми ресурсами и финансовым состоянием организации; управлению персоналом и профессионально-карьерным ростом; стратегическому планированию; инвестиционной деятельности; разработке и реализации бизнес-планов; оценке стоимости бизнеса; цифровой трансформации бизнеса.
Управление персоналом в организации,"основам кадрового планирования и контроллинга, основам маркетинга персонала, разработке и реализации стратегии привлечения персонала и научитесь применять их на практике; анализировать результаты исследований в контексте целей и задач своей организации, формировать бюджет затрат на персонал и контролировать его исполнение, навыкам контроля за использованием рабочего времени;  использовать основы правовых знаний в различных сферах деятельности (Гражданского кодекса и иных федеральных законов в части определения ответственности за нарушения трудового законодательства и иных актов, содержащих нормы трудового права)."
Государственная и муниципальная служба,"учитывая мировой опыт и отечественные практики, определять основные тенденции и эффективность развития государственного и муниципального управления;  способам эффективного делового общения, публичных выступлений, переговоров, проведения совещаний, деловой переписки, способам и средствам информационного воздействия; грамотно и эффективно подбирать методы разработки и принятия государственных и управленческих решений; овладеете навыками принятия решений с позиций социальной ответственности; обосновывать выбор методов управления государственными (муниципальными) активами, с помощью экономического инструментария анализировать эффективность управления бюджетом и государственной (муниципальными) активами, сопровождать мероприятия осуществления государственного и муниципального закупок."
Учётные системы и бизнес-аналитика,"основным принципам экономики и менеджмента современных компаний в условиях глобальных вызовов и цифровизации всех бизнес-процессов; организации процессов финансового, управленческого и налогового учета бизнес-единиц; созданию эффективной бизнес-модели компании и трансформации существующих моделей бизнеса с целью повышения их эффективности; основам финансового и инвестиционного анализа, в том числе, построению системы показателей для оценки как отдельных бизнес-процессов, так и всего бизнеса; современным инструментам гибкого управления финансово-экономическими рисками бизнеса; теоретическим и организационным основам финансового планирования и бюджетирования; моделированию и оптимизации бизнес-процессов различного уровня на базе программных продуктов BPMSoft, Business Studio и др.; эффективным методам внедрения, использования и развития в компании автоматизированных систем финансового, управленческого и налогового учета на базе современных платформ, в том числе систем класса ERP, а также на примере продуктов фирмы 1С."
"Экономика, бухгалтерский учет и налоги для бизнеса","составлять бизнес-план как на уровне отдельного проекта, так и на уровне бизнеса в целом; проводить комплексный экономический анализ исходя из потребностей управления; «читать» бухгалтерскую финансовую отчетность и принимать на ее основе управленческие решения; контролировать деятельность бухгалтерской службы; рассчитывать и контролировать исчисления и уплаты налогов; организовывать систему внутреннего контроля в организации."
Экономика и финансы организаций и отраслевых комплексов,"процессам идентификации, оценки и управления финансовыми, производственными, логистическими, маркетинговыми, техническими рисками в различных сферах деятельности; разработке и принятию эффективных экономических решений для современных компаний; теоретическим и прикладным знаниям в области управления бизнес-процессами современных компаний и повышения их эффективности; анализировать состояние рынка финансовых активов и выявлять наиболее эффективные модели управления цифровыми финансовыми технологиями с целью создания корпоративных конкурентных преимуществ;Выпускники магистратуры приобретают компетенции для работы: антикризисным управляющим, финансовым аналитиком, андеррайтером (риск-менеджер), кредитным экспертом, финансовым директором."
Управление развитием компании,"разрабатывать и реализовывать корпоративную стратегию организации, а также функциональных стратегий (маркетинговой, финансовой, кадровой и т.д.); управлять персоналом; экономической оценке инвестиционных проектов реконструкции и развития предприятия; бизнес-планированию; управлению проектами и др."
Цифровой HR и организационное развитие,"концепции кадровой политики и стратегии управления персоналом; осуществлять кадровое планирование и маркетинг персонала, контроллинг и учет персонала;  заниматься социальным развитием персонала, организационным проектированием, формированием и развитием системы управления персоналом; обеспечивать кадровое, правовое и информационное управление персоналом; владеть методами оценки экономической и социальной эффективности управления персоналом, управленческим (в том числе кадровым) консалтингом и др."
Социологические и маркетинговые исследования,"проведению социологических исследований; продвижению экономических и социальных программ; изучению общественного мнения и обработке статистической информации; подготовке и реализации маркетинговых проектов, рекламных кампаний; работе с различными группами и категориями населения."
Технологии и практики социального развития и предпринимательства,"выявлять и оценивать потребности отдельных граждан, семей и иных социальных групп в социальном обеспечении, социальной помощи и социальном обслуживании;  реализовывать технологии социальной работы и меры социальной защиты с целью улучшения условий жизнедеятельности граждан и семей;  управлять социальными рисками, возникающими в процессе жизнедеятельности человека, семьи и иных социальных групп на основе современных стратегий и моделей социальной помощи; применять технологии активизации потенциала человека с целью улучшения условий его жизнедеятельности и индивидуального благосостояния."
Юриспруденция,"работе со справочно-правовыми информационными системами; разрешению конкретных жизненных ситуаций с использованием правовых средств; методам сбора, фиксации и анализа доказательственной базы; правовой квалификации правонарушений (преступлений, проступков и гражданско-правовых деликтов); юридической защите прав потребителей; навыкам государственной регистрации юридических лиц и индивидуальных предпринимателей; юридическому сопровождению бизнеса; правовой защите и представлению интересов юридических и физических лиц в уголовных, административных, гражданских и арбитражных процессах; правовому сопровождению сделок с недвижимостью; составлению проектов договоров, претензий, исковых заявлений и иных правовых документов."
Коммуникации в цифровой среде,"внутренним законам функционирования системы массовых коммуникаций и управления ими;  создавать и монетизировать любой бренд: личный, персональный или корпоративный; разработать PR-кампанию любого масштаба: от идеи до реализации; профессионально работать с социальными медиа."
Конвергентная журналистика,"профессионально освещать социальные, экономические, политические, научные вопросы; основам российских и международных законов в сфере массовой коммуникации; разработке всех этапов создания и продвижения интернет-продуктов."
Управление туристическим бизнесом,"понимать методы, принципы, способы, управленческие приемы, формы и средства, которые способствуют эффективному управлению сферами туристического производства и персоналом, занятым с сфере обслуживания туристической деятельности;  планированию и разработке туристских товаров и услуг, продаже, продвижению товаров и услуг, стимулированию на них спроса и ценообразованию;  планировать и делать прогнозы, связанные с риском, выражающимися в воздействии обстоятельств непреодолимой силы, а также выявлять, как подобные проблемы отражаются на развитии туризма; управлять совокупностью факторов производства, фондов обращения и нематериальных активов, доходов (прибыли), полученных в результате реализации туристского продукта и оказания различных других услуг (выполненных работ)."
Начальное образование,"понимать природу ребенка, следить за этапами его развития, правильно выстраивать отношения с участниками педагогического процесса; способам осуществления научного исследования, выдвигать гипотезы, проверять их, писать научные статьи и делать научные выводы;  учить детей, объяснять сложные научные или природные явления простым понятным языком; организации воспитательного процесса в учреждениях общего и дополнительного образования."
Физическая культура,"проводить занятия в образовательных и физкультурно-спортивных учреждениях;  планировать и организовывать физкультурно-оздоровительные, спортивные мероприятия, процесс активной творческой деятельности по формированию здорового образа жизни; использовать теоретические знания в сфере физической культуры и спорта."
Русский язык в полиэтнической образовательной среде,"мастерству преподавания русского языка в многонациональной аудитории: адаптировать учебный процесс к потребностям и культурным особенностям каждого ученика, использовать уникальные методикипреподавания русского языка как родного и неродного, создавать интерактивные и увлекательные уроки, где каждый ребёнок сможет раскрыть свой потенциал, ориентироваться в современных технологиях образования, применяя их для достижения максимальных результатов; глубокому пониманию культурного многообразия и этнопсихологии:понимать этнопсихологические особенности учащихся из разных культурных сред, преодолевать языковые и культурные барьеры, эффективно взаимодействовать с каждым ребёнком, создавать атмосферу доверия и уважения в учебной среде владению русским языком и культурой речи:программа поможет отточить навыки устной и письменной речи, овладеть стилистическим многообразием русского языка, стать носителем высокой культуры речи, способным вдохновить своих учеников на любовь к слову на основе глубокого понимания взаимосвязи языка и культуры; инновационным подходам к образованию:Вы сможете овладеть современными технологиями и инновационными образовательными подходами, научитесь анализировать образовательные тренды, адаптировать их к своим условиям работы и создавать собственный авторский стиль преподавания."
